HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,common_name,female_maturity_days,male_maturity_days,gestation_days,weaning_days,litter_size,litters_per_year,interbirth_interval,birth_weight_g,weaning_weight_g,adult_weight_g,growth_rate,max_longevity_yrs,source,specimen_origin,sample_size,data_quality,imr,mrdt,metabolic_rate_w,body_mass_g,temperature_k,references,log10_longevity,log10_adult_weight
3,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Escarpia,laminata,Escarpia laminata,,,,,,,,,,,,300.0,1466,wild,medium,acceptable,,,,,,1466,2.4771212547196626,
5,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Lamellibrachia,luymesi,Lamellibrachia luymesi,,,,,,,,,,,,250.0,652,wild,small,acceptable,,,,,,652,2.3979400086720375,
6,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Seepiophila,jonesi,Seepiophila jonesi,,,,,,,,,,,,300.0,1467,wild,small,acceptable,,,,,,1467,2.4771212547196626,
8,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,hasselti,Australian redback spider,,,,,,,,,,,,,,unknown,medium,low,,,,,,1455,,
9,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,pulicaria,Daphnia,,,,,,,,,,,,0.19,,unknown,medium,acceptable,,,,,,"1294,1295,1296",-0.721246399047171,
11,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit fly,7.0,7.0,,,,,,,,,,0.3,,captivity,large,acceptable,0.05,0.04,,,,"2,20,32,47,53,68,69,240,241,242,243,274,602,981,1150",-0.5228787452803376,
12,Animalia,Arthropoda,Insecta,Diptera,Neriidae,Telostylinus,angusticollis,Telostylinus angusticollis,,,,,,,,,,,,0.05,1442,wild,medium,acceptable,,,,,,1442,-1.3010299956639813,
13,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Ceratitis,capitata,Mediterranean fruit fly,,,,,,,,,,,,0.49,1447,captivity,large,acceptable,,,,,,1447,-0.3098039199714863,
14,Animalia,Arthropoda,Insecta,Hemiptera,Pseudococcidae,Maconellicoccus,hirsutus,Mealybug,,,,,,,,,,,,0.08,1449,captivity,small,acceptable,,,,,,1449,-1.0969100130080565,
15,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,Honey bee,,,,,,,,,,,,8.0,812,unknown,medium,acceptable,,,,,,"63,407,408,741,805,806,808,812,815,828,830,831,847,848,902,908,1143,1166",0.9030899869919435,
16,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,terrestris,Buff tailed bumblebee,,,,,,,,,,,,0.27,1444,captivity,small,acceptable,,,,,,1444,-0.5686362358410126,
18,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Cardiocondyla,obscurior,Cardiocondyla obscurior,,,,,,,,,,,,0.5,1293,captivity,medium,acceptable,,,,,,1293,-0.3010299956639812,
19,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,niger,Black garden ant,,,,,,,,,,,,28.0,411,unknown,medium,acceptable,,,,,,"411,813,814,1364",1.4471580313422192,
20,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,dentata,Pheidole dentata,,,,,,,,,,,,0.4,1156,captivity,medium,questionable,,,,,,1156,-0.3979400086720376,
21,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,anynana,Squinting bush brown,15.0,15.0,,,,,,,,,,0.5,811,wild,medium,acceptable,,,,,,"418,809,811",-0.3010299956639812,
22,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Teleogryllus,commodus,Black field cricket,,,,,,,,,,,,,,unknown,medium,low,,,,,,1443,,
23,Animalia,Arthropoda,Insecta,Orthoptera,Romaleidae,Romalea,microptera,Eastern lubber grasshopper,,,,,,,,,,,,,,unknown,medium,low,,,,,,"1460,1461",,
24,Animalia,Arthropoda,Insecta,Phasmatodea,Lonchodidae,Carausius,morosus,Indian stick insect,,,,,,,,,,,,,,unknown,medium,low,,,,,,1441,,
25,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,American lobster,,,,,,,,,,,,100.0,2,wild,medium,acceptable,,,,,,"2,13,594",2.0,
27,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Astyanax,mexicanus,Mexican tetra,,,,,,,,,,,,15.0,1427,captivity,small,acceptable,,,,,,1427,1.1760912590556813,
28,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Heterandria,formosa,Least killifish,,,,,,,,,,,,,,unknown,medium,low,,,,,,"1453,1454",,
29,Animalia,Chordata,Actinopterygii,Perciformes,Nototheniidae,Dissostichus,eleginoides,Patagonian toothfish,,,,,,,,,,,,50.0,1456,unknown,medium,acceptable,,,,,,1456,1.6989700043360187,
30,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Meuschenia,scaber,Smooth leatherjacket,559.0,555.0,,,,,,,,,,17.1,1422,wild,medium,acceptable,,,,,,1422,1.2329961103921538,
32,Animalia,Chordata,Amphibia,Anura,Ascaphidae,Ascaphus,truei,Coastal tailed frog,,,32.0,,62.0,,,,,,,14.0,525,wild,medium,acceptable,,,,,,"525,749",1.146128035678238,
33,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,bombina,Firebelly toad,1095.0,1095.0,,,190.0,,,,,,,20.0,485,captivity,medium,acceptable,,,,,,"485,525,749",1.3010299956639813,
34,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,orientalis,Oriental firebelly toad,,,,,148.0,,,,,,,15.8,451,captivity,large,acceptable,,,,,,"451,525,749",1.1986570869544226,
35,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,variegata,Yellow-bellied toad,,,,,73.0,,,,,,,29.0,,captivity,medium,acceptable,,,,,,"24,525,749",1.462397997898956,
36,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,910.0,910.0,8.0,,6000.0,,365.0,,,21.7667,,36.0,525,captivity,medium,acceptable,,,0.00829,21.6,288.0,"37,268,426,525,749",1.5563025007672873,1.3377925916306785
37,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western toad,1095.0,1095.0,6.0,,5200.0,,,,,,,11.5,451,captivity,medium,acceptable,,,,,,"437,451,526,749",1.0606978403536116,
38,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,californicus,Arroyo toad,,,,,,,,,,,,8.0,1440,wild,medium,acceptable,,,,,,1440,0.9030899869919435,
39,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite toad,1825.0,1460.0,11.0,,1750.0,,,,,,,15.0,503,wild,medium,acceptable,,,,,,"503,526,749",1.1760912590556813,
40,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,cognatus,Great plains toad,730.0,730.0,4.0,,11074.0,,,,,,,10.7,485,captivity,small,questionable,,,,,,"485,526,749",1.0293837776852097,
41,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,debilis,Green toad,,,,,1300.0,,,,,,,12.4,451,captivity,small,acceptable,,,,,,"451,749",1.0934216851622351,
42,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,hemiophrys,Canadian toad,730.0,730.0,,,,,,,,,,13.3,451,captivity,small,acceptable,,,,,,"451,528",1.1238516409670858,
43,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Red-spotted toad,730.0,730.0,,,1500.0,,,,,,,11.3,485,captivity,medium,acceptable,,,,,,"485,749",1.0530784434834197,
44,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,retiformis,Sonoran green toad,,,2.0,,,,,,,,,15.3,451,captivity,small,acceptable,,,,,,"451,749",1.1846914308175989,
45,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,,,3.0,,3250.0,,,,,19.267,,10.0,451,captivity,medium,acceptable,,,0.00698,19.2,288.0,"37,451,749",1.0,1.2848140973812312
46,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,varius,Veragoa stubfoot toad,,,,,,,,,,,,10.0,451,captivity,large,acceptable,,,,,,451,1.0,
47,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Common European toad,1460.0,1460.0,,,,,,,,,,40.0,451,captivity,medium,acceptable,,,,,,"451,525,526,1134",1.6020599913279623,
48,Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,alvarius,"Sonoran desert toad, or Colorado river toad",,1095.0,,,7750.0,,,,,,,15.4,485,captivity,medium,acceptable,,,,,,"485,749",1.187520720836463,
49,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophrynoides,asperginis,Kihansi spray toad,,,,,,,,,,,,5.0,990,captivity,medium,questionable,,,,,,990,0.6989700043360189,
50,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,lemur,Ridge-headed toad,,,,,,,,,,,,10.7,451,captivity,small,acceptable,,,,,,451,1.0293837776852097,
51,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,peltocephala,Cuban toad,,,,,,,,,,,,20.0,485,captivity,small,acceptable,,,,,,485,1.3010299956639813,
52,Animalia,Chordata,Amphibia,Anura,Bufonidae,Pseudepidalea,viridis,European green toad,,,,,,,,,,,,11.9,451,captivity,large,acceptable,,,,,,451,1.0755469613925308,
53,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhaebo,blombergi,Colombian giant toad,,,,,,,,,,,,28.7,451,captivity,tiny,acceptable,,,,,,451,1.4578818967339924,
54,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,arenarum,Argentine toad,,,,,,,,,,,,,,unknown,small,low,,,,,,"451,525",,
55,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,365.0,365.0,2.0,,10000.0,,,,,106.25,,24.8,485,captivity,large,acceptable,,,0.0303,105.0,293.0,"37,296,485,749",1.3944516808262162,2.026328938722349
56,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,schneideri,Eurura toad,,,,,,,,,,,,15.1,451,captivity,small,acceptable,,,,,,451,1.1789769472931695,
57,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,aurita,Common horned frog,,,,,,,,,,,,12.8,451,captivity,small,acceptable,,,,,,451,1.1072099696478683,
58,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,calcarata,Colombian horned frog,,,,,,,,,,,,15.9,451,captivity,tiny,acceptable,,,,,,451,1.2013971243204515,
59,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,cornuta,Amazonian horned frog,,,,,,,,,,,,10.3,485,captivity,small,acceptable,,,,,,"485,749",1.0128372247051722,
60,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,Ornate horned frog,,,,,,,,,,,,14.7,451,captivity,medium,acceptable,,,,,,451,1.167317334748176,
61,Animalia,Chordata,Amphibia,Anura,Conrauidae,Conraua,goliath,Goliath frog,,,,,,,,,,,,5.9,451,captivity,small,acceptable,,,,,,"451,749",0.7708520116421442,
62,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,Green and black dart-poison frog,365.0,365.0,12.0,,6.0,,,,,,,20.5,448,captivity,large,acceptable,,,,,,"448,749",1.3117538610557542,
63,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded poison frog,75.0,75.0,12.0,,7.0,,,,,,,11.5,451,captivity,large,acceptable,,,,,,"451,749",1.0606978403536116,
64,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,tinctorius,Blue poison-dart frog,,,,,,,,,,,,,,unknown,large,low,,,,,,451,,
65,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,histrionica,Kokoe-pa poison dart frog,,,,,,,,,,,,9.1,451,captivity,medium,acceptable,,,,,,451,0.9590413923210935,
66,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,pumilio,Strawberry poison frog,,,,,,,,,,,,7.5,451,captivity,medium,acceptable,,,,,,451,0.8750612633917001,
67,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Phyllobates,vittatus,Golfo dulce poison-dart frog,304.0,304.0,15.0,,14.0,,,,,,,,,unknown,medium,low,,,,,,749,,
68,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,occipitalis,African tigrine frog,,,,,,,,,,48.1,,10.9,451,captivity,small,acceptable,,,,,,"451,749",1.0374264979406236,1.6821450763738317
69,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,blanchardi,Blanchard's cricket frog,,,,,,,,,,1.0,,,,unknown,small,low,,,,,,1096,,0.0
70,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,crepitans,Northern cricket frog,,,,,,,,,,,,4.9,485,captivity,small,questionable,,,,,,"485,749,1096",0.6901960800285137,
71,Animalia,Chordata,Amphibia,Anura,Hylidae,Diaglena,spatulata,Treefrog,,,,,,,,,,,,12.8,451,captivity,tiny,acceptable,,,,,,451,1.1072099696478683,
72,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,arborea,European tree frog,,,,,,,,,,,,22.0,451,captivity,small,acceptable,,,,,,451,1.3424226808222062,
73,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Cope's gray treefrog,730.0,547.0,21.0,,35.0,,,,,,,7.8,485,captivity,medium,acceptable,,,,,,"485,528,749",0.8920946026904804,
74,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,cinerea,Green treefrog,730.0,730.0,,,1222.0,,,,,,,,,unknown,medium,low,,,,,,"485,749",,
75,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,gratiosa,Barking treefrog,,,,,2250.0,,,,,,,12.5,451,captivity,medium,acceptable,,,,,,"451,749",1.0969100130080565,
76,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,japonica,Japanese treefrog,1278.0,1278.0,,,920.0,,,,,,,8.9,451,captivity,small,acceptable,,,,,,"451,749",0.9493900066449128,
77,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,squirella,Squirrel treefrog,,,1.0,,1000.0,1.0,,,,,,8.5,485,captivity,medium,acceptable,,,,,,"485,749",0.9294189257142927,
78,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,versicolor,Gray treefrog,730.0,730.0,4.0,,1800.0,,,,,7.2,,7.8,543,captivity,medium,acceptable,,,0.00433,6.97,290.5,"37,528,543,749",0.8920946026904804,0.8573324964312685
79,Animalia,Chordata,Amphibia,Anura,Hylidae,Hypsiboas,rosenbergi,Rosenberg's treefrog,,,,,775.0,,,,,,,,,unknown,small,low,,,,,,"485,749",,
80,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,caerulea,Australian green treefrog,,,,,1100.0,,,,,,,20.0,451,captivity,large,acceptable,,,,,,"451,749",1.3010299956639813,
81,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,septentrionalis,Cuban treefrog,255.0,120.0,1.0,,1500.0,,,,,,,12.9,451,captivity,medium,acceptable,,,,,,"451,749",1.110589710299249,
82,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,vastus,Hispaniola giant treefrog,,,,,,,,,,,,6.6,451,captivity,small,questionable,,,,,,451,0.8195439355418687,
83,Animalia,Chordata,Amphibia,Anura,Hylidae,Pachymedusa,dacnicolor,Mexican leaf frog,,,,,,,,,,,,8.7,451,captivity,small,acceptable,,,,,,451,0.9395192526186185,
84,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,crucifer,Spring peeper,912.0,912.0,10.0,,700.0,,,,,4.0,,,,unknown,small,low,,,0.00105,0.9,292.0,"37,451,525,528,749",,0.6020599913279624
85,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudis,paradoxa,Paradox frog,,,,,,,,,,,,11.0,451,captivity,small,acceptable,,,,,,451,1.0413926851582251,
86,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,baudinii,Mexican treefrog,,,,,2480.0,,,,,,,6.3,485,captivity,small,acceptable,,,,,,"485,749",0.7993405494535817,
87,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,fodiens,Lowland burrowing treefrog,,,,,,,,,,,,5.1,485,captivity,small,acceptable,,,,,,485,0.7075701760979364,
88,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,phaeota,Masked treefrog,,,,,2000.0,,,,,,,4.1,485,captivity,small,acceptable,,,,,,"485,749",0.6127838567197355,
89,Animalia,Chordata,Amphibia,Anura,Hylidae,Trachycephalus,venulosus,Marbled treefrog,,,,,,,,,,,,10.5,451,captivity,small,acceptable,,,,,,451,1.021189299069938,
90,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,pentadactylus,Tungara frog,,,,,,,,,,,,18.8,451,captivity,medium,acceptable,,,,,,451,1.2741578492636798,
91,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,aurantiaca,Golden mantella,,,14.0,,40.0,,,,,,,10.9,451,captivity,large,acceptable,,,,,,"451,749",1.0374264979406236,
92,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,expectata,Blue-legged mantella,365.0,365.0,,,,,,,,,,3.0,1060,wild,small,questionable,,,,,,1060,0.47712125471966244,
93,Animalia,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,Eastern narrow-mouthed toad,547.0,365.0,1.0,,722.0,,,,,,,6.8,485,captivity,small,acceptable,,,,,,"485,528,749",0.8325089127062363,
94,Animalia,Chordata,Amphibia,Anura,Microhylidae,Kaloula,pulchra,Malaysian narrowmouth toad,,,,,,,,,,,,11.0,485,captivity,medium,acceptable,,,,,,485,1.0413926851582251,
95,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla,ornata,Ornate narrow-mouthed frog,547.0,182.0,,,,,,1125.0,,,,5.0,964,wild,small,acceptable,,,,,,964,0.6989700043360189,
96,Animalia,Chordata,Amphibia,Anura,Microhylidae,Phrynomantis,bifasciatus,Red-banded frog,,,,,,,,,,,,10.3,451,captivity,medium,acceptable,,,,,,451,1.0128372247051722,
97,Animalia,Chordata,Amphibia,Anura,Microhylidae,Scaphiophryne,gottlebei,Rainbow frog,365.0,365.0,,,,,,,,,,2.0,1060,wild,small,questionable,,,,,,1060,0.3010299956639812,
98,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Mixophyes,fleayi,Fleay's barred frog,,,,,,,,,,,,8.0,1433,wild,medium,acceptable,,,,,,1433,0.9030899869919435,
99,Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,fuscus,Common Eurasian spadefoot toad,,,8.0,,1740.0,,,,,,,11.0,485,captivity,medium,acceptable,,,,,,"485,749",1.0413926851582251,
100,Animalia,Chordata,Amphibia,Anura,Pelodryadidae,Ranoidea,chloris,Orange-eyed tree frog,1096.0,1096.0,,,,,,,,,,6.0,1433,wild,medium,acceptable,,,,,,1433,0.7781512503836436,
101,Animalia,Chordata,Amphibia,Anura,Pelodryadidae,Ranoidea,lesueurii,Lesueur's frog,1096.0,730.0,,,,,,,,,,5.0,1433,wild,small,acceptable,,,,,,1433,0.6989700043360189,
102,Animalia,Chordata,Amphibia,Anura,Pelodryadidae,Ranoidea,pearsoniana,Pearson's green tree frog,730.0,730.0,,,,,,,,,,,,unknown,medium,low,,,,,,1433,,
103,Animalia,Chordata,Amphibia,Anura,Phyllomedusidae,Agalychnis,callidryas,Red-eyed tree frog,,,,,,,,,,,,,,unknown,large,low,,,,,,485,,
104,Animalia,Chordata,Amphibia,Anura,Phyllomedusidae,Agalychnis,spurrelli,Maroon-eyed tree frog,,,,,,,,,,,,5.5,451,captivity,tiny,acceptable,,,,,,451,0.7403626894942439,
105,Animalia,Chordata,Amphibia,Anura,Phyllomedusidae,Phyllomedusa,bicolor,Waxy treefrog,,,,,,,,,,,,10.3,451,captivity,medium,acceptable,,,,,,451,1.0128372247051722,
106,Animalia,Chordata,Amphibia,Anura,Pipidae,Pipa,pipa,Surinam toad,,,,,,,,,,,,7.7,485,captivity,medium,acceptable,,,,,,"485,749",0.8864907251724818,
107,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,African clawed frog,183.0,,2.0,,,,,,,130.0,,30.3,451,captivity,large,acceptable,,,0.012,63.6,288.0,"10,37,196,451,526,607,749,1255",1.481442628502305,2.113943352306837
108,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,adspersus,African bullfrog,,,,,,,,,,,,45.0,451,captivity,medium,acceptable,,,,,,"451,749",1.6532125137753437,
109,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Tomopterna,delalandii,Cape sand frog,,,,,,,,,,,,11.3,451,captivity,small,acceptable,,,,,,451,1.0530784434834197,
110,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American bullfrog,1277.0,730.0,4.0,,,,,,,54.4,,16.0,485,captivity,medium,acceptable,,,0.0134,51.2,288.0,"2,37,485,526,528,749",1.2041199826559248,1.73559889969818
111,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,Green frog,730.0,730.0,,,4000.0,,,,,,,10.0,528,captivity,medium,acceptable,,,,,,"528,749",1.0,
112,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Northern leopard frog,730.0,365.0,,,4146.0,,,,,29.0222,,9.0,525,wild,medium,acceptable,,,0.00576,21.6,289.78,"37,42,268,525,528,749",0.9542425094393249,1.462730330625696
113,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,septentrionalis,Mink frog,730.0,547.0,,,2250.0,,,,,,,6.0,528,wild,medium,acceptable,,,,,,"528,749",0.7781512503836436,
114,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,Wood frog,912.0,547.0,,,900.0,,,,,7.88,,5.0,,unknown,medium,questionable,,,0.00416,7.8,289.8,"37,43,289,340,528,749",0.6989700043360189,0.8965262174895553
115,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,virgatipes,Carpenter frog,,730.0,,,,,,,,,,6.2,485,captivity,small,acceptable,,,,,,"485,749",0.7923916894982539,
116,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,lessonae,Pool frog,,,,,2420.0,,,,,,,6.0,525,wild,medium,acceptable,,,,,,"525,749",0.7781512503836436,
117,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,nigromaculatus,Black-spotted frog,730.0,730.0,,,2800.0,,,,,,,15.0,651,wild,medium,acceptable,,,,,,"651,749",1.1760912590556813,
118,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,perezi,Italian green frog,912.0,912.0,6.0,,,,,,,,,6.8,650,captivity,small,acceptable,,,,,,"525,650,749",0.8325089127062363,
119,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,ridibundus,Marsh frog,1460.0,1095.0,,,6835.0,,,,,,,11.0,525,wild,medium,acceptable,,,,,,"525,749,895",1.0413926851582251,
120,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,amurensis,Siberian wood frog,1640.0,1640.0,,,2125.0,,,,,,,9.0,525,wild,medium,acceptable,,,,,,"525,749",0.9542425094393249,
121,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,arvalis,Moor frog,,,,,1750.0,,,,,,,11.0,525,wild,medium,acceptable,,,,,,"525,749",1.0413926851582251,
122,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,aurora,"Red-legged frog, or California red-legged frog",,,,,,,,,,,,15.0,503,wild,medium,acceptable,,,,,,"503,1150",1.1760912590556813,
123,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,esculenta,Edible frog,,,,,,,,,,,,12.0,525,wild,medium,acceptable,,,,,,525,1.0791812460476249,
124,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,iberica,Iberian frog,,,,,318.0,,,,,,,8.0,525,wild,medium,acceptable,,,,,,"525,749",0.9030899869919435,
125,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,macrocnemis,Long-legged wood frog,912.0,912.0,,,2040.0,,,,,,,5.0,525,wild,medium,acceptable,,,,,,"525,749",0.6989700043360189,
126,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,temporaria,European frog,1095.0,1095.0,,,2585.0,,,,,,,27.0,,unknown,medium,acceptable,,,,,,"25,525,526,749,1118",1.4313637641589874,
127,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,couchii,Couch's spadefoot,,,,,3000.0,,,,,,,6.7,485,captivity,small,questionable,,,,,,"458,485,749",0.8260748027008264,
128,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,holbrookii,Eastern spadefoot,730.0,730.0,8.0,,3872.0,,,,,,,12.3,485,captivity,small,acceptable,,,,,,"485,528,749",1.089905111439398,
129,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,intermontana,Great Basin spadefoot,,,3.0,,676.0,,,,,,,20.0,437,wild,medium,acceptable,,,,,,"437,749",1.3010299956639813,
130,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,gracile,Northwestern salamander,730.0,730.0,,,150.0,,,,,,,10.2,485,captivity,small,acceptable,,,,,,"485,749",1.0086001717619175,
131,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mabeei,Mabee's salamander,,,,,,,,,,,,8.8,485,captivity,small,acceptable,,,,,,485,0.9444826721501687,
132,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,macrodactylum,Long-toed salamander,730.0,730.0,40.0,,250.0,,,,,,,10.0,437,wild,medium,acceptable,,,,,,"437,749",1.0,
133,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,Spotted salamander,1095.0,730.0,,,125.0,,,,,12.84,,32.0,,unknown,medium,acceptable,,,0.005,12.8,290.0,"37,528,749",1.505149978319906,1.1085650237328344
134,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mexicanum,Axolotl,548.0,548.0,18.0,,,,,,,,,17.0,451,captivity,large,acceptable,,,,,,"449,451,749,796,843",1.2304489213782739,
135,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,1296.0,1113.0,,,100.0,,,,,,,11.3,485,captivity,small,acceptable,,,,,,"485,528,749",1.0530784434834197,
136,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,rosaceum,Chihuahuan mole salamander,,,,,,,,,,,,14.4,451,captivity,small,acceptable,,,,,,451,1.1583624920952498,
137,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,Mole salamander,730.0,730.0,,,350.0,,,,,,,9.0,749,unknown,medium,acceptable,,,,,,"528,749",0.9542425094393249,
138,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,texanum,Small-mouthed salamander,,,35.0,,625.0,,,,,,,13.8,485,captivity,tiny,acceptable,,,,,,"485,749",1.1398790864012365,
139,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,Tiger salamander,1460.0,1460.0,28.0,,37.0,,,,,9.402,,25.0,485,captivity,medium,acceptable,,,0.00196,3.21,291.0,"27,37,440,485,1143",1.3979400086720377,0.9732202468522337
140,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,ensatus,California giant salamander,,,150.0,,85.0,,,,,,,16.9,451,captivity,tiny,acceptable,,,,,,"451,749",1.2278867046136734,
